goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/id
cpu: Apple M4 Pro
BenchmarkKSUIDNextStringParallel-12          	 1807694	       670.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 1788481	       666.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 1795242	       667.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 1797720	       670.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 1775474	       667.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 1787294	       668.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3734767	       321.2 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3769182	       317.0 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3782934	       316.5 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3792166	       316.8 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3776686	       317.5 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3795909	       316.6 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3777307	       316.7 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3808882	       315.6 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3799467	       317.1 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3772147	       316.6 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1931122	       616.3 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1947439	       631.1 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1872850	       613.0 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1931803	       622.0 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1932968	       620.7 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1946451	       620.6 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1926543	       621.3 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1941716	       621.3 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1939070	       622.7 ns/op	     104 B/op	       3 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1928953	       618.4 ns/op	     104 B/op	       3 allocs/op
PASS
ok  	github.com/bluetape4k/bluetape-go/id	229.839s
