goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/id
cpu: Apple M4 Pro
BenchmarkKSUIDMillisNextString-12            	 9748333	       123.5 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 9854788	       122.5 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 9750488	       122.6 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 9815167	       122.6 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 9561657	       124.8 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 9754081	       122.8 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 9777978	       122.8 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 9706496	       123.0 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 9738793	       123.0 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 9753450	       122.4 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 5676696	       208.8 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 5730550	       209.3 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 5781655	       209.0 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 5777018	       209.1 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 5787211	       208.0 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 5729552	       207.6 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 5782743	       209.5 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 5764363	       208.9 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 5718316	       209.4 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 5731560	       208.4 ns/op	      56 B/op	       2 allocs/op
PASS
ok  	github.com/bluetape4k/bluetape-go/id	207.905s
