goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/compression
cpu: Apple M4 Pro
BenchmarkCompressorsCompress/random/large/zlib-12           	     170	   7152580 ns/op	 109.95 MB/s	         1.000 compressed/original	    786683 compressed_bytes	 3412849 B/op	      28 allocs/op
BenchmarkCompressorsCompress/random/large/deflate-12        	     176	   6743686 ns/op	 116.62 MB/s	         1.000 compressed/original	    786677 compressed_bytes	 3412721 B/op	      25 allocs/op
BenchmarkCompressorsCompress/random/large/zstd-12           	    2800	    405417 ns/op	1939.81 MB/s	         1.000 compressed/original	    786463 compressed_bytes	21539173 B/op	      58 allocs/op
BenchmarkCompressorsCompress/random/large/lz4-12            	   10000	    108362 ns/op	7257.48 MB/s	         1.000 compressed/original	    786451 compressed_bytes	  806604 B/op	       6 allocs/op
BenchmarkCompressorsCompress/random/large/snappy-12         	    6322	    189504 ns/op	4149.95 MB/s	         1.000 compressed/original	    786538 compressed_bytes	 2433237 B/op	      10 allocs/op
BenchmarkCompressorsDecompress/json/small/gzip-12           	  207276	      5803 ns/op	 225.24 MB/s	         0.1943 compressed/original	       254.0 compressed_bytes	   44368 B/op	      11 allocs/op
BenchmarkCompressorsDecompress/json/small/zlib-12           	  201956	      5973 ns/op	 218.83 MB/s	         0.1852 compressed/original	       242.0 compressed_bytes	   43748 B/op	      12 allocs/op
BenchmarkCompressorsDecompress/json/small/deflate-12        	  217542	      5587 ns/op	 233.94 MB/s	         0.1806 compressed/original	       236.0 compressed_bytes	   43664 B/op	      10 allocs/op
BenchmarkCompressorsDecompress/json/small/zstd-12           	  138382	      9179 ns/op	 142.39 MB/s	         0.1943 compressed/original	       254.0 compressed_bytes	   15166 B/op	      43 allocs/op
BenchmarkCompressorsDecompress/json/small/lz4-12            	 1620088	       748.8 ns/op	1745.52 MB/s	         0.2907 compressed/original	       380.0 compressed_bytes	    4313 B/op	      10 allocs/op
BenchmarkCompressorsDecompress/json/small/snappy-12         	  181522	      8543 ns/op	 152.99 MB/s	         0.2762 compressed/original	       361.0 compressed_bytes	  150768 B/op	      10 allocs/op
BenchmarkCompressorsDecompress/json/medium/gzip-12          	   23428	     51584 ns/op	 958.61 MB/s	         0.07958 compressed/original	      3935 compressed_bytes	  171352 B/op	      29 allocs/op
BenchmarkCompressorsDecompress/json/medium/zlib-12          	   20142	     59287 ns/op	 834.06 MB/s	         0.07933 compressed/original	      3923 compressed_bytes	  170733 B/op	      30 allocs/op
BenchmarkCompressorsDecompress/json/medium/deflate-12       	   26103	     46902 ns/op	1054.31 MB/s	         0.07921 compressed/original	      3917 compressed_bytes	  170648 B/op	      28 allocs/op
BenchmarkCompressorsDecompress/json/medium/zstd-12          	   19770	     61408 ns/op	 805.26 MB/s	         0.05610 compressed/original	      2774 compressed_bytes	  349776 B/op	      57 allocs/op
BenchmarkCompressorsDecompress/json/medium/lz4-12           	   68103	     16871 ns/op	2931.01 MB/s	         0.1695 compressed/original	      8384 compressed_bytes	  141941 B/op	      21 allocs/op
BenchmarkCompressorsDecompress/json/medium/snappy-12        	   40010	     30536 ns/op	1619.36 MB/s	         0.1336 compressed/original	      6605 compressed_bytes	  277552 B/op	      21 allocs/op
BenchmarkCompressorsDecompress/json/large/gzip-12           	    1774	    675140 ns/op	1165.25 MB/s	         0.07124 compressed/original	     56042 compressed_bytes	 2016309 B/op	      41 allocs/op
BenchmarkCompressorsDecompress/json/large/zlib-12           	    1491	    801488 ns/op	 981.56 MB/s	         0.07122 compressed/original	     56030 compressed_bytes	 2015690 B/op	      42 allocs/op
BenchmarkCompressorsDecompress/json/large/deflate-12        	    2023	    596865 ns/op	1318.07 MB/s	         0.07121 compressed/original	     56024 compressed_bytes	 2015603 B/op	      40 allocs/op
BenchmarkCompressorsDecompress/json/large/zstd-12           	    2215	    566753 ns/op	1388.09 MB/s	         0.05706 compressed/original	     44889 compressed_bytes	12335861 B/op	      91 allocs/op
BenchmarkCompressorsDecompress/json/large/lz4-12            	    5764	    206585 ns/op	3808.16 MB/s	         0.1612 compressed/original	    126791 compressed_bytes	 1653755 B/op	      28 allocs/op
BenchmarkCompressorsDecompress/json/large/snappy-12         	    4268	    290147 ns/op	2711.41 MB/s	         0.1378 compressed/original	    108383 compressed_bytes	 2121653 B/op	      29 allocs/op
BenchmarkCompressorsDecompress/text/small/gzip-12           	  190076	      6296 ns/op	 162.64 MB/s	         0.3115 compressed/original	       319.0 compressed_bytes	   43408 B/op	      10 allocs/op
BenchmarkCompressorsDecompress/text/small/zlib-12           	  186226	      6414 ns/op	 159.65 MB/s	         0.2998 compressed/original	       307.0 compressed_bytes	   42788 B/op	      11 allocs/op
BenchmarkCompressorsDecompress/text/small/deflate-12        	  199708	      6019 ns/op	 170.12 MB/s	         0.2939 compressed/original	       301.0 compressed_bytes	   42704 B/op	       9 allocs/op
BenchmarkCompressorsDecompress/text/small/zstd-12           	  129874	      9763 ns/op	 104.88 MB/s	         0.3027 compressed/original	       310.0 compressed_bytes	   15969 B/op	      42 allocs/op
BenchmarkCompressorsDecompress/text/small/lz4-12            	 1974364	       602.6 ns/op	1699.36 MB/s	         0.4355 compressed/original	       446.0 compressed_bytes	    3172 B/op	       9 allocs/op
BenchmarkCompressorsDecompress/text/small/snappy-12         	  190116	      6406 ns/op	 159.85 MB/s	         0.4326 compressed/original	       443.0 compressed_bytes	  149808 B/op	       9 allocs/op
BenchmarkCompressorsDecompress/text/medium/gzip-12          	   37730	     32093 ns/op	1531.54 MB/s	         0.03379 compressed/original	      1661 compressed_bytes	  163257 B/op	      32 allocs/op
BenchmarkCompressorsDecompress/text/medium/zlib-12          	   30200	     39343 ns/op	1249.34 MB/s	         0.03355 compressed/original	      1649 compressed_bytes	  162640 B/op	      33 allocs/op
BenchmarkCompressorsDecompress/text/medium/deflate-12       	   45805	     26301 ns/op	1868.85 MB/s	         0.03343 compressed/original	      1643 compressed_bytes	  162552 B/op	      31 allocs/op
BenchmarkCompressorsDecompress/text/medium/zstd-12          	   28405	     42592 ns/op	1154.01 MB/s	         0.02181 compressed/original	      1072 compressed_bytes	  301895 B/op	      56 allocs/op
BenchmarkCompressorsDecompress/text/medium/lz4-12           	   90027	     12946 ns/op	3796.70 MB/s	         0.05703 compressed/original	      2803 compressed_bytes	  134157 B/op	      21 allocs/op
BenchmarkCompressorsDecompress/text/medium/snappy-12        	   46818	     25958 ns/op	1893.48 MB/s	         0.08059 compressed/original	      3961 compressed_bytes	  269360 B/op	      21 allocs/op
BenchmarkCompressorsDecompress/text/large/gzip-12           	    3378	    352075 ns/op	2233.71 MB/s	         0.02681 compressed/original	     21083 compressed_bytes	 2008279 B/op	      39 allocs/op
BenchmarkCompressorsDecompress/text/large/zlib-12           	    2482	    486175 ns/op	1617.59 MB/s	         0.02679 compressed/original	     21071 compressed_bytes	 2007663 B/op	      40 allocs/op
