timestamp_utc: 2026-08-16T02:25:06Z
git_sha: 3e14c7e0ad027c7d0187e7a0524f0a5db976e126
dirty_tree: false
capture_eligibility: eligible
no_regression: N/A
gin_version: v1.12.0
fixture_identity: gin-v1.12.0-parser-only-local
go_version: go version go1.26.6 darwin/arm64
goos: darwin
goarch: arm64
cpu: 1,2,4
logical_cpus: 10
benchmark_count: 5
max_output_bytes: 10485760
command: go test -timeout=10m -run \^\$ -bench \^BenchmarkGinAdapter -benchmem -count=5 -cpu=1\,2\,4 ./web/gin
output_begin
goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/web/gin
cpu: Apple M5
BenchmarkGinAdapter/Bridge/Serial                 	 1000000	      1205 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial                 	  987697	      1209 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial-2               	 1000000	      1067 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial-2               	 1000000	      1059 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial-2               	 1000000	      1056 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial-2               	 1000000	      1052 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial-2               	 1000000	      1053 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial-4               	 1000000	      1018 ns/op	    5842 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial-4               	 1000000	      1020 ns/op	    5842 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial-4               	 1000000	      1024 ns/op	    5842 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial-4               	 1000000	      1015 ns/op	    5842 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial-4               	 1000000	      1014 ns/op	    5842 B/op	      18 allocs/op
